Name,Price,Description
 POCO F5 Pro 12/256GB (черный) , 47 990 ₽ ," Процессор: Snapdragon 8+ Gen 1 
 Количество ядер процессора: 8 
 Частота: 3 ГГц 
 Видеопроцессор: Adreno 730 
 Слот для карты памяти: Отсутствует 
 Оперативная память (ГБ): 12 
 Встроенная память (ГБ): 256 
 Спутниковая навигация: A-GPS, BeiDou, ГЛОНАСС, GPS, QZSS 
 Интернет: GPRS, EDGE, 5G, 3G, 4G 
 Диапазоны GSM: 1800, 1900, 850, 900 
 Диапазоны LTE: 2600, 1, 1800, 900, 850, 8, 7, 5, 40, 4, 38, 3, 2100 
 Bluetooth: 5.3 
 Wi-Fi (802.11): 2.4 ГГц (до 574 Мб/сек), n, g, b, ax, ac, 5 ГГц (до 867 Мб/сек), a 
 ИК-порт: Да 
 SIM-карта: nano-SIM 
 Кол-во SIM-карт: две nano-SIM, Dual Standby 
 NFC: Да 
 Тип дисплея: AMOLED 
 Диагональ экрана: 6,67 
 Разрешение дисплея: 3200 x 1440 WQHD+ 
 Плотность пикселей (PPI): 526 
 Частота обновления: 120 Гц 
 Яркость (кд/м²): до 1400 нит 
 Соотношение сторон: 20:9 
 Контрастность: 5 000 000:1 
 Фотокамера (Мп): 64+8+2 
 Апертура: f/1.79 + f/2.2 + f/2.4 
 Автофокус: Да 
 Фронтальная камера (Мп): 16 
 Видеозапись: Да 
Разрешение видеосъемки (пикс): 8К 
 Частота кадров видеосъемки: 24fps 
 Способ разблокировки: сканер отпечатка пальца на передней панели, распознавание лица 
 Быстрая зарядка: да, 67 Вт (67 Вт адаптер в комплекте) 
 Тип разъема для зарядки: USB Type-C 
 Беспроводная зарядка: Да 
 Емкость аккумулятора (мА*ч): 5160 
 Материал: Стекло, Пластик 
 Высота (мм): 162,8 
 Ширина (мм): 75 
 Толщина (мм): 8,59 
 Вес (г): 204 
 Поддерживаемые медиа форматы: MP4, M4V, MKV, AVI, WMV, WEBM, 3GP, 3G2, ASF 
 Версия MIUI: MIUI 14 for POCO 
 Версия Android: 13 
 Степень защиты: IP53 "
 POCO F5 Pro 12/256GB (белый) , 47 990 ₽ ," Процессор: Snapdragon 8+ Gen 1 
 Количество ядер процессора: 8 
 Частота: 3 ГГц 
 Видеопроцессор: Adreno 730 
 Слот для карты памяти: Отсутствует 
 Оперативная память (ГБ): 12 
 Встроенная память (ГБ): 256 
 Спутниковая навигация: A-GPS, BeiDou, ГЛОНАСС, GPS, QZSS 
 Интернет: GPRS, EDGE, 5G, 3G, 4G 
 Диапазоны GSM: 1800, 1900, 850, 900 
 Диапазоны LTE: 2600, 1, 1800, 900, 850, 8, 7, 5, 40, 4, 38, 3, 2100 
 Bluetooth: 5.3 
 Wi-Fi (802.11): 2.4 ГГц (до 574 Мб/сек), n, g, b, ax, ac, 5 ГГц (до 867 Мб/сек), a 
 ИК-порт: Да 
 SIM-карта: nano-SIM 
 Кол-во SIM-карт: две nano-SIM, Dual Standby 
 NFC: Да 
 Тип дисплея: AMOLED 
 Диагональ экрана: 6,67 
 Разрешение дисплея: 3200 x 1440 WQHD+ 
 Плотность пикселей (PPI): 526 
 Частота обновления: 120 Гц 
 Яркость (кд/м²): до 1400 нит 
 Соотношение сторон: 20:9 
 Контрастность: 5 000 000:1 
 Фотокамера (Мп): 64+8+2 
 Апертура: f/1.79 + f/2.2 + f/2.4 
 Автофокус: Да 
 Фронтальная камера (Мп): 16 
 Видеозапись: Да 
Разрешение видеосъемки (пикс): 8К 
 Частота кадров видеосъемки: 24fps 
 Способ разблокировки: сканер отпечатка пальца на передней панели, распознавание лица 
 Быстрая зарядка: да, 67 Вт (67 Вт адаптер в комплекте) 
 Тип разъема для зарядки: USB Type-C 
 Беспроводная зарядка: Да 
 Емкость аккумулятора (мА*ч): 5160 
 Материал: Стекло, Пластик 
 Высота (мм): 162,8 
 Ширина (мм): 75 
 Толщина (мм): 8,59 
 Вес (г): 204 
 Поддерживаемые медиа форматы: MP4, M4V, MKV, AVI, WMV, WEBM, 3GP, 3G2, ASF 
 Версия MIUI: MIUI 14 for POCO 
 Версия Android: 13 
 Степень защиты: IP53 "
 Xiaomi Redmi 10C 4/64GB (синий) , 15 990 ₽ ," Процессор: Snapdragon® 680 
 Количество ядер процессора: 8 
 Частота: 2,4 ГГц 
 Видеопроцессор: Qualcomm® Adreno™ 610 
Максимальный объем карты памяти: до 1 TБ 
 Встроенная память (ГБ): 64 
 Оперативная память (ГБ): 4 
 Спутниковая навигация: GPS, ГЛОНАСС, Galileo, BeiDou, A-GPS 
 Диапазоны LTE: 7, 1, 1800, 20, 2100, 3, 38, 4, 40, 41, 900, 850, 8, 5 
 Bluetooth: 5.0 
 Wi-Fi (802.11): a, n, g, b, ac 
 SIM-карта: nano-SIM 
 Кол-во SIM-карт: 2 
 NFC: Да 
 Диагональ экрана: 6.71 
 Разрешение дисплея: 1650 x 720 HD+ 
 Соотношение сторон: 20:9 
 Фотокамера (Мп): 50+2 
 Апертура: f/1.8+f/2.4 
 Фронтальная камера (Мп): 5 
 Аккумулятор: Литий-ионный 
 Быстрая зарядка: Поддержка быстрой зарядки 18 Вт Устройство для зарядки на 10 Вт в комплекте 
 Тип разъема для зарядки: USB Type-C 
 Емкость аккумулятора (мА*ч): 5000 
 Способ разблокировки: сканер отпечатка пальца на задней панели 
 Аудиоразъем: 3.5 мм 
 Версия MIUI: 13 
 Версия Android: 11 
 Высота (мм): 169,59 
 Ширина (мм): 76,56 
 Толщина (мм): 8,29 
 Вес (г): 190 
 Гарантия (мес): 12 "
 Xiaomi Redmi 9A 2/32GB (серый) , 5 990 ₽ ," Процессор: MediaTek Helio G25 
 Количество ядер процессора: 8 
 Частота: 2.0 ГГц 
 Слот для карты памяти: Отдельный 
 Оперативная память (ГБ): 2 
 Встроенная память (ГБ): 32 
 Спутниковая навигация: ГЛОНАСС, BeiDou, GPS 
 Интернет: 3G, 4G, EDGE, GPRS 
 Диапазоны LTE: 41, 5, 7, 8, 40, 4, 38, 3, 20, 1 
 Bluetooth: 5.0 
 Wi-Fi (802.11): n, g, b, 2.4 ГГц (до 300 Мб/сек) 
 SIM-карта: nano-SIM 
 Кол-во SIM-карт: 2 
 NFC: Нет 
 Диагональ экрана: 6.53 
 Разрешение дисплея: 720x1600 HD+ 
 Фотокамера (Мп): 13 + 2 
 Апертура: f/2.2 
 Фронтальная камера (Мп): 5 
Разрешение видеосъемки (пикс): 720p 
 Частота кадров видеосъемки: 30fps 
 Быстрая зарядка: 324 
 Тип разъема для зарядки: Micro-USB 
 Емкость аккумулятора (мА*ч): 5000 
 Аудиоразъем: 3.5 мм 
 Материал: Пластик 
 Высота (мм): 164,9 
 Ширина (мм): 77,07 
 Толщина (мм): 9 
 Вес (г): 196 "
 Xiaomi Redmi 9A 2/32GB (бирюзовый) , 5 990 ₽ ," Процессор: MediaTek Helio G25 
 Количество ядер процессора: 8 
 Частота: 2.0 ГГц 
 Слот для карты памяти: Отдельный 
 Встроенная память (ГБ): 32 
 Оперативная память (ГБ): 2 
 Спутниковая навигация: ГЛОНАСС, BeiDou, GPS 
 Интернет: 3G, 4G, EDGE, GPRS 
 Диапазоны LTE: 41, 5, 7, 8, 40, 4, 38, 3, 20, 1 
 Bluetooth: 5.0 
 Wi-Fi (802.11): n, g, b, 2.4 ГГц (до 300 Мб/сек) 
 SIM-карта: nano-SIM 
 Кол-во SIM-карт: 2 
 NFC: Нет 
 Диагональ экрана: 6.53 
 Разрешение дисплея: 720x1600 HD+ 
 Фотокамера (Мп): 13 + 2 
 Апертура: f/2.2 
 Фронтальная камера (Мп): 5 
Разрешение видеосъемки (пикс): 720p 
 Частота кадров видеосъемки: 30fps 
 Быстрая зарядка: 324 
 Тип разъема для зарядки: Micro-USB 
 Емкость аккумулятора (мА*ч): 5000 
 Аудиоразъем: 3.5 мм 
 Материал: Пластик 
 Высота (мм): 164,9 
 Ширина (мм): 77,07 
 Толщина (мм): 9 
 Вес (г): 196 "
 Xiaomi Redmi 9A 2/32GB (голубой) , 5 990 ₽ ," Процессор: MediaTek Helio G25 
 Количество ядер процессора: 8 
 Частота: 2.0 ГГц 
 Слот для карты памяти: Отдельный 
 Встроенная память (ГБ): 32 
 Оперативная память (ГБ): 2 
 Спутниковая навигация: ГЛОНАСС, BeiDou, GPS 
 Интернет: 3G, 4G, EDGE, GPRS 
 Диапазоны LTE: 41, 5, 7, 8, 40, 4, 38, 3, 20, 1 
 Bluetooth: 5.0 
 Wi-Fi (802.11): n, g, b, 2.4 ГГц (до 300 Мб/сек) 
 SIM-карта: nano-SIM 
 Кол-во SIM-карт: 2 
 NFC: Нет 
 Диагональ экрана: 6.53 
 Разрешение дисплея: 720x1600 HD+ 
 Фотокамера (Мп): 13 + 2 
 Апертура: f/2.2 
 Фронтальная камера (Мп): 5 
Разрешение видеосъемки (пикс): 720p 
 Частота кадров видеосъемки: 30fps 
 Быстрая зарядка: 324 
 Тип разъема для зарядки: Micro-USB 
 Емкость аккумулятора (мА*ч): 5000 
 Аудиоразъем: 3.5 мм 
 Материал: Пластик 
 Высота (мм): 164,9 
 Ширина (мм): 77,07 
 Толщина (мм): 9 
 Вес (г): 196 "
 Xiaomi 13 Lite 8/256GB (голубой) , 38 990 ₽ ," Процессор: Snapdragon 7 Gen 1 
 Количество ядер процессора: 8 
 Частота: 2,4 ГГц 
 Видеопроцессор: Qualcomm® Adreno 644 
 Слот для карты памяти: Отсутствует 
 Оперативная память (ГБ): 8 
 Встроенная память (ГБ): 256 
 Спутниковая навигация: GPS, ГЛОНАСС, Galileo, BeiDou, A-GPS 
 Интернет: GPRS, 5G, 4G, 3G 
 Диапазоны GSM: 1800, 900, 850, 1900 
 Диапазоны LTE: 5, 28, 20, 2, 1, 41, 3, 38, 4, 40, 8, 7 
 Bluetooth: 5.2 
 Wi-Fi (802.11): ac, n, g, b, a, 5 ГГц (до 867 Мб/сек), 2.4 ГГц (до 574 Мб/сек) 
 ИК-порт: Да 
 SIM-карта: e-SIM, nano-SIM 
 Кол-во SIM-карт: две nano-SIM, Dual Standby 
 NFC: Да 
 Тип дисплея: AMOLED 
 Диагональ экрана: 6.55"" 
 Разрешение дисплея: 2400 x 1080 
 Плотность пикселей (PPI): 402 
 Частота обновления: 120 Гц 
 Яркость (кд/м²): до 1000нит 
 Соотношение сторон: 20:9 
 Контрастность: 5 000 000:1 
 Фотокамера (Мп): 50 + 8 + 2 
 Апертура: ƒ/1.8 + ƒ/2.2 + ƒ/2.4 
 Вспышка: Двойная вспышка 
 Фронтальная камера (Мп): 32 + 8 
 Видеозапись: Да 
Разрешение видеосъемки (пикс): 4K 
 Частота кадров видеосъемки: 30fps 
 Способ разблокировки: встроенный в экран сканер отпечатка пальца 
 Быстрая зарядка: да, 67 Вт (67 Вт адаптер в комплекте) 
 Тип разъема для зарядки: USB Type-C 
 Беспроводная зарядка: Нет 
 Разъемы: USB Type-C 
 Емкость аккумулятора (мА*ч): 4500 мА·ч 
 Версия MIUI: 14 
 Версия Android: 12 
 Материал: Металл, Стекло 
 Высота (мм): 159,2 
 Ширина (мм): 72,7 
 Толщина (мм): 7,23 
 Вес (г): 171 
 Материал: Рамка из алюминия 
 Гарантия (мес): 12 
 Страна производитель: Китай "
 Xiaomi 13 Lite 8/256GB (розовый) , 38 990 ₽ ," Процессор: Snapdragon 7 Gen 1 
 Количество ядер процессора: 8 
 Частота: 2,4 ГГц 
 Видеопроцессор: Qualcomm® Adreno 644 
 Слот для карты памяти: Отсутствует 
 Оперативная память (ГБ): 8 
 Встроенная память (ГБ): 256 
 Спутниковая навигация: GPS, ГЛОНАСС, Galileo, BeiDou, A-GPS 
 Интернет: GPRS, 5G, 4G, 3G 
 Диапазоны GSM: 1800, 900, 850, 1900 
 Диапазоны LTE: 5, 28, 20, 2, 1, 41, 3, 38, 4, 40, 8, 7 
 Bluetooth: 5.2 
 Wi-Fi (802.11): ac, n, g, b, a, 5 ГГц (до 867 Мб/сек), 2.4 ГГц (до 574 Мб/сек) 
 ИК-порт: Да 
 SIM-карта: e-SIM, nano-SIM 
 Кол-во SIM-карт: две nano-SIM, Dual Standby 
 NFC: Да 
 Тип дисплея: AMOLED 
 Диагональ экрана: 6.55"" 
 Разрешение дисплея: 2400 x 1080 
 Плотность пикселей (PPI): 402 
 Частота обновления: 120 Гц 
 Яркость (кд/м²): до 1000нит 
 Соотношение сторон: 20:9 
 Контрастность: 5 000 000:1 
 Фотокамера (Мп): 50 + 8 + 2 
 Апертура: ƒ/1.8 + ƒ/2.2 + ƒ/2.4 
 Вспышка: Двойная вспышка 
 Фронтальная камера (Мп): 32 + 8 
 Видеозапись: Да 
Разрешение видеосъемки (пикс): 4K 
 Частота кадров видеосъемки: 30fps 
 Способ разблокировки: встроенный в экран сканер отпечатка пальца 
 Быстрая зарядка: да, 67 Вт (67 Вт адаптер в комплекте) 
 Тип разъема для зарядки: USB Type-C 
 Беспроводная зарядка: Нет 
 Разъемы: USB Type-C 
 Емкость аккумулятора (мА*ч): 4500 мА·ч 
 Версия MIUI: 14 
 Версия Android: 12 
 Материал: Металл, Стекло 
 Высота (мм): 159,2 
 Ширина (мм): 72,7 
 Толщина (мм): 7,23 
 Вес (г): 171 
 Материал: Рамка из алюминия 
 Гарантия (мес): 12 
 Страна производитель: Китай "
 Xiaomi 13 Lite 8/256GB (черный) , 38 990 ₽ ," Процессор: Snapdragon 7 Gen 1 
 Количество ядер процессора: 8 
 Частота: 2,4 ГГц 
 Видеопроцессор: Qualcomm® Adreno 644 
 Слот для карты памяти: Отсутствует 
 Оперативная память (ГБ): 8 
 Встроенная память (ГБ): 256 
 Спутниковая навигация: GPS, ГЛОНАСС, Galileo, BeiDou, A-GPS 
 Интернет: GPRS, 5G, 4G, 3G 
 Диапазоны GSM: 1800, 900, 850, 1900 
 Диапазоны LTE: 5, 28, 20, 2, 1, 41, 3, 38, 4, 40, 8, 7 
 Bluetooth: 5.2 
 Wi-Fi (802.11): ac, n, g, b, a, 5 ГГц (до 867 Мб/сек), 2.4 ГГц (до 574 Мб/сек) 
 ИК-порт: Да 
 SIM-карта: e-SIM, nano-SIM 
 Кол-во SIM-карт: две nano-SIM, Dual Standby 
 NFC: Да 
 Тип дисплея: AMOLED 
 Диагональ экрана: 6.55"" 
 Разрешение дисплея: 2400 x 1080 
 Плотность пикселей (PPI): 402 
 Частота обновления: 120 Гц 
 Яркость (кд/м²): до 1000нит 
 Соотношение сторон: 20:9 
 Контрастность: 5 000 000:1 
 Фотокамера (Мп): 50 + 8 + 2 
 Апертура: ƒ/1.8 + ƒ/2.2 + ƒ/2.4 
 Вспышка: Двойная вспышка 
 Фронтальная камера (Мп): 32 + 8 
 Видеозапись: Да 
Разрешение видеосъемки (пикс): 4K 
 Частота кадров видеосъемки: 30fps 
 Способ разблокировки: встроенный в экран сканер отпечатка пальца 
 Быстрая зарядка: да, 67 Вт (67 Вт адаптер в комплекте) 
 Тип разъема для зарядки: USB Type-C 
 Беспроводная зарядка: Нет 
 Разъемы: USB Type-C 
 Емкость аккумулятора (мА*ч): 4500 мА·ч 
 Версия MIUI: 14 
 Версия Android: 12 
 Материал: Металл, Стекло 
 Высота (мм): 159,2 
 Ширина (мм): 72,7 
 Толщина (мм): 7,23 
 Вес (г): 171 
 Материал: Рамка из алюминия 
 Гарантия (мес): 12 
 Страна производитель: Китай "
 POCO F5 8/256GB (белый) , 31 990 ₽ ," Процессор: Snapdragon 7+ Gen 2 
 Количество ядер процессора: 8 
 Частота: 2.9 ГГц 
 Видеопроцессор: Adreno 725 
 Слот для карты памяти: Отсутствует 
 Оперативная память (ГБ): 8 
 Встроенная память (ГБ): 256 
 Спутниковая навигация: A-GPS, BeiDou, ГЛОНАСС, GPS, QZSS 
 Интернет: 3G, 4G, 5G, EDGE, GPRS 
 Диапазоны GSM: 1800, 1900, 850, 900 
 Диапазоны LTE: 38, 1, 1800, 2100, 2600, 900, 850, 8, 7, 5, 40, 4, 3 
 Bluetooth: 5.3 
 Wi-Fi (802.11): n, g, b, ax, ac, a, 5 ГГц (до 867 Мб/сек), 2.4 ГГц (до 574 Мб/сек) 
 ИК-порт: Да 
 SIM-карта: nano-SIM 
 Кол-во SIM-карт: две nano-SIM, Dual Standby 
 NFC: Да 
 Тип дисплея: AMOLED 
 Диагональ экрана: 6,67 
 Разрешение дисплея: 2400 × 1080 FHD+ Flow 
 Частота обновления: 120 Гц 
 Яркость (кд/м²): до 1000 нит 
 Соотношение сторон: 20:9 
 Контрастность: 5 000 000:1 
 Фотокамера (Мп): 64+8+2 
 Апертура: f/1.8 + f/2.2 + f/2.4 
 Автофокус: Да 
 Фронтальная камера (Мп): 16 
 Видеозапись: Да 
Разрешение видеосъемки (пикс): 4К 
 Частота кадров видеосъемки: 30fps 
 Способ разблокировки: распознавание лица, сканер отпечатка пальца сбоку 
 Быстрая зарядка: да, 67 Вт (67 Вт адаптер в комплекте) 
 Тип разъема для зарядки: USB Type-C 
 Беспроводная зарядка: Нет 
 Емкость аккумулятора (мА*ч): 5000 
 Аудиоразъем: 3.5 мм 
 Поддерживаемые медиа форматы: MP4, M4V, MKV, AVI, WEBM, 3GP, 3G2 
 Версия MIUI: MIUI 14 for POCO 
 Версия Android: 13 
 Степень защиты: IP53 
 Материал: Пластик, Стекло 
 Высота (мм): 161,1 
 Ширина (мм): 75 
 Толщина (мм): 8 
 Вес (г): 181 "
 POCO F5 8/256GB (синий) , 31 990 ₽ ," Процессор: Snapdragon 7+ Gen 2 
 Количество ядер процессора: 8 
 Частота: 2.9 ГГц 
 Видеопроцессор: Adreno 725 
 Слот для карты памяти: Отсутствует 
 Оперативная память (ГБ): 8 
 Встроенная память (ГБ): 256 
 Спутниковая навигация: A-GPS, BeiDou, ГЛОНАСС, GPS, QZSS 
 Интернет: 3G, 4G, 5G, EDGE, GPRS 
 Диапазоны GSM: 1800, 1900, 850, 900 
 Диапазоны LTE: 38, 1, 1800, 2100, 2600, 900, 850, 8, 7, 5, 40, 4, 3 
 Bluetooth: 5.3 
 Wi-Fi (802.11): n, g, b, ax, ac, a, 5 ГГц (до 867 Мб/сек), 2.4 ГГц (до 574 Мб/сек) 
 ИК-порт: Да 
 SIM-карта: nano-SIM 
 Кол-во SIM-карт: две nano-SIM, Dual Standby 
 NFC: Да 
 Тип дисплея: AMOLED 
 Диагональ экрана: 6,67 
 Разрешение дисплея: 2400 × 1080 FHD+ Flow 
 Частота обновления: 120 Гц 
 Яркость (кд/м²): до 1000 нит 
 Соотношение сторон: 20:9 
 Контрастность: 5 000 000:1 
 Фотокамера (Мп): 64+8+2 
 Апертура: f/1.8 + f/2.2 + f/2.4 
 Автофокус: Да 
 Фронтальная камера (Мп): 16 
 Видеозапись: Да 
Разрешение видеосъемки (пикс): 4К 
 Частота кадров видеосъемки: 30fps 
 Способ разблокировки: распознавание лица, сканер отпечатка пальца сбоку 
 Быстрая зарядка: да, 67 Вт (67 Вт адаптер в комплекте) 
 Тип разъема для зарядки: USB Type-C 
 Беспроводная зарядка: Нет 
 Емкость аккумулятора (мА*ч): 5000 
 Аудиоразъем: 3.5 мм 
 Поддерживаемые медиа форматы: MP4, M4V, MKV, AVI, WEBM, 3GP, 3G2 
 Версия MIUI: MIUI 14 for POCO 
 Версия Android: 13 
 Степень защиты: IP53 
 Материал: Пластик, Стекло 
 Высота (мм): 161,1 
 Ширина (мм): 75 
 Толщина (мм): 8 
 Вес (г): 181 "
